bait,prey,distance,serr_mu,sigma,serr_sigma,n
Sec6-FRB,Sec3_GFP_N,21.09,4.19,18.58,2.33,109
Sec8-FRB,Sec3_GFP_N,24,2.02,16.57,1.33,204
Sec15-FRB,Sec3_GFP_N,23.91,2.83,17.74,1.78,135
Exo70-FRB,Sec3_GFP_N,19.72,2.36,14.68,1.48,142
Exo84-FRB,Sec3_GFP_N,19.45,2.11,14.71,1.31,171
Sec6-FRB,Sec3_GFP_C,26.96,2.48,17.65,1.67,132
Sec8-FRB,Sec3_GFP_C,20.9,2.36,15.13,1.52,149
Sec10-FRB,Sec3_GFP_C,22.5,2.79,15.96,1.81,107
Sec15-FRB,Sec3_GFP_C,21.99,2.86,17,1.75,131
Exo70-FRB,Sec3_GFP_C,24.02,1.3,13.99,0.92,230
Exo84-FRB,Sec3_GFP_C,21.04,1.72,13.77,1.16,167
Sec3-FRB,Sec5_GFP_N,22.51,1.41,14.85,0.95,294
Sec8-FRB,Sec5_GFP_N,22.47,2.26,16.24,1.45,172
Sec10-FRB,Sec5_GFP_N,15.55,4.82,15.06,2.48,77
Sec15-FRB,Sec5_GFP_N,23.83,3.63,19.68,2.12,137
Exo70-FRB,Sec5_GFP_N,20.46,1.67,14.7,1.07,263
Exo84-FRB,Sec5_GFP_N,23.92,1.95,15.54,1.32,157
Sec3-FRB,Sec5_GFP_C,19.92,1.37,12.83,0.92,215
Sec6-FRB,Sec5_GFP_C,24.49,2.76,18.32,1.72,146
Sec8-FRB,Sec5_GFP_C,20.15,1.98,14.17,1.28,155
Sec10-FRB,Sec5_GFP_C,25.85,2.51,17.66,1.65,141
Sec15-FRB,Sec5_GFP_C,21.84,2.01,14.46,1.35,138
Exo70-FRB,Sec5_GFP_C,26.88,1.36,15.99,0.94,279
Exo84-FRB,Sec5_GFP_C,19.5,2.31,14.24,1.48,138
Sec3-FRB,Sec6_GFP_N,20.56,2.06,15.41,1.29,205
Sec8-FRB,Sec6_GFP_N,18.92,1.44,12.42,0.97,198
Sec10-FRB,Sec6_GFP_N,23.48,2.72,16.86,1.74,118
Sec15-FRB,Sec6_GFP_N,27.51,2.63,17.47,1.78,100
Exo70-FRB,Sec6_GFP_N,25.29,1.81,15.75,1.26,180
Exo84-FRB,Sec6_GFP_N,27.15,1.77,16.87,1.22,210
Sec3-FRB,Sec6_GFP_C,20,2.73,14.95,1.71,113
Sec8-FRB,Sec6_GFP_C,22.87,2.24,15.57,1.48,135
Sec15-FRB,Sec6_GFP_C,21.75,2.73,15.72,1.74,106
Exo70-FRB,Sec6_GFP_C,25.87,1.98,16.36,1.35,156
Exo84-FRB,Sec6_GFP_C,24.79,2.57,17.01,1.7,130
Sec3-FRB,Sec8_GFP_C,18.72,2.4,14.26,1.49,135
Sec10-FRB,Sec8_GFP_C,20.17,1.71,13.32,1.15,157
Sec15-FRB,Sec8_GFP_C,17.72,2.24,13.36,1.4,129
Exo70-FRB,Sec8_GFP_C,29.3,1.74,17.53,1.2,205
Exo84-FRB,Sec8_GFP_C,20.6,1.53,12.11,1.07,128
Sec3-FRB,Sec10_GFP_N,20.56,3.65,18.54,1.99,145
Sec8-FRB,Sec10_GFP_N,27.37,2.51,19.08,1.65,178
Sec15-FRB,Sec10_GFP_N,21.47,2.83,17.47,1.67,179
Exo84-FRB,Sec10_GFP_N,23.47,2.74,18.95,1.63,199
Sec3-FRB,Sec10_GFP_C,24.52,2.47,17,1.62,143
Sec8-FRB,Sec10_GFP_C,20.68,1.73,13.47,1.17,157
Sec15-FRB,Sec10_GFP_C,13.91,3.35,12.53,1.83,85
Exo70-FRB,Sec10_GFP_C,31.69,1.94,16.51,1.41,123
Exo84-FRB,Sec10_GFP_C,18.6,2.36,12.71,1.56,85
Sec3-FRB,Sec15_GFP_N,23.65,3.61,17.82,2.24,86
Sec10-FRB,Sec15_GFP_N,16.78,2.21,14.94,1.22,244
Exo70-FRB,Sec15_GFP_N,21.05,1.8,15.22,1.15,231
Sec3-FRB,Sec15_GFP_C,21.64,3.28,18.42,1.87,157
Sec6-FRB,Sec15_GFP_C,20.55,4.88,18.93,2.62,94
Sec10-FRB,Sec15_GFP_C,23.25,1.88,14.34,1.32,140
Exo70-FRB,Sec15_GFP_C,32.73,1.73,17.97,1.24,199
Exo84-FRB,Sec15_GFP_C,20.49,2.77,16.97,1.61,174
Sec3-FRB,Exo70_GFP_N,23.28,2.32,16.35,1.5,143
Sec6-FRB,Exo70_GFP_N,22.98,3.1,18.41,1.86,163
Sec8-FRB,Exo70_GFP_N,23.26,1.8,15.02,1.23,178
Sec10-FRB,Exo70_GFP_N,22.04,3.21,15.67,2.09,81
Exo84-FRB,Exo70_GFP_N,18.92,3.25,17.87,1.71,219
Sec3-FRB,Exo70_GFP_C,16.41,2.79,13.25,1.65,97
Sec6-FRB,Exo70_GFP_C,22.71,2.49,16.52,1.58,137
Sec8-FRB,Exo70_GFP_C,22.04,2.02,15.76,1.31,197
Sec10-FRB,Exo70_GFP_C,24.29,2.43,17.32,1.57,163
Sec15-FRB,Exo70_GFP_C,22.12,1.72,14.36,1.16,179
Exo84-FRB,Exo70_GFP_C,24.78,1.76,15.94,1.2,206
Sec3-FRB,Exo84_GFP_N,22.55,2.01,16.65,1.27,248
Sec6-FRB,Exo84_GFP_N,20.22,2.38,15.04,1.49,134
Sec8-FRB,Exo84_GFP_N,23.34,1.74,16.19,1.13,250
Sec10-FRB,Exo84_GFP_N,15.36,2.37,11.33,1.51,88
Sec15-FRB,Exo84_GFP_N,24.32,2.23,16.39,1.48,88
Exo70-FRB,Exo84_GFP_N,18.38,1.63,13.3,1.04,212
Sec3-FRB,Exo84_GFP_C,19.79,3.07,16.27,1.8,122
Sec6-FRB,Exo84_GFP_C,24.67,3.02,15.26,2.09,59
Sec8-FRB,Exo84_GFP_C,17.61,2.35,14.78,1.35,174
Sec10-FRB,Exo84_GFP_C,25.14,2.41,17.23,1.58,144
Sec15-FRB,Exo84_GFP_C,19.68,2.48,14.03,1.61,111
Exo70-FRB,Exo84_GFP_C,29.09,1.77,17.45,1.24,213
Sec3-FRB,Sec2_GFP_C,65.22,5.13,39.16,3.6,129
Sec6-FRB,Sec2_GFP_C,68.31,9.69,50.43,6.11,92
Sec10-FRB,Sec2_GFP_C,66.69,6.51,41.79,4.53,104
Sec15-FRB,Sec2_GFP_C,69.06,15.41,62.15,8.43,100
Exo70-FRB,Sec2_GFP_C,78.8,5.18,51.49,3.51,265
Exo84-FRB,Sec2_GFP_C,64.87,10.03,53.56,5.88,140
